Year,Location,County,Variety ,Planting_Date,PI_Predicted,PI_Average,PI_Observed,Days_to_PI,PD_Observed,Days_to_PD,Total_Days_to_PD,Heading_Predicted,Heading_Average,Heading_Observed,Days_to_Heading,Total_Days_to_Heading,R7_Predicted,R7_Average,R7_Predicted_3Weeks,R7_Observed,Days_to_R7,Total_Days_to_R7,R7_Estimate
2024,Schohr,SouthButte,M105,2024-05-13,2024-06-26,2024-07-01,2024-07-01,49,2024-07-05,4,53,2024-07-23,2024-08-01,2024-08-03,29,82,2024-08-09,2024-08-20,2024-08-24,,20,102,2024-08-23
2024,Schohr,SouthButte,M206,2024-05-13,2024-06-25,2024-07-01,2024-07-01,49,2024-07-05,4,53,2024-07-23,2024-08-01,2024-08-05,31,84,2024-08-10,2024-08-21,2024-08-26,2024-08-26,21,105,
2024,Schohr,SouthButte,M209,2024-05-13,,,2024-07-03,51,2024-07-07,4,55,,,2024-08-11,35,90,,,2024-09-01,2024-09-06,26,116,
2024,Schohr,SouthButte,M210,2024-05-13,,,2024-07-05,53,2024-07-08,3,56,,,2024-08-04,27,83,,,2024-08-25,2024-08-26,22,105,
2024,Schohr,SouthButte,M211,2024-05-13,,,2024-07-06,54,2024-07-11,5,59,,,2024-08-12,32,91,,,2024-09-02,2024-09-05,24,115,
2024,Schohr,SouthButte,M401,2024-05-13,,,2024-07-08,56,2024-07-12,4,60,2024-08-26,2024-09-05,2024-09-11,61,121,,,,,,,
2024,Canal,Colusa,M105,2024-05-17,2024-06-28,2024-07-04,2024-07-03,47,2024-07-07,4,51,2024-07-25,2024-08-05,2024-07-30,23,74,2024-08-12,2024-08-23,2024-08-20,,18,92,2024-08-17
2024,Canal,Colusa,M206,2024-05-17,2024-06-28,2024-07-04,2024-07-04,48,2024-07-08,4,52,2024-07-25,2024-08-04,2024-08-01,24,76,2024-08-13,2024-08-24,2024-08-22,,19,95,2024-08-20
2024,Canal,Colusa,M209,2024-05-17,,,2024-07-04,48,2024-07-09,5,53,,,2024-08-08,30,83,,,2024-08-29,2024-08-27,19,102,
2024,Canal,Colusa,M210,2024-05-17,,,2024-07-05,49,2024-07-08,3,52,,,2024-08-01,24,76,,,2024-08-22,,19,95,2024-08-20
2024,Canal,Colusa,M211,2024-05-17,,,2024-07-05,49,2024-07-09,4,53,,,2024-08-08,30,83,,,2024-08-29,2024-08-29,21,104,
2024,Canal,Colusa,M401,2024-05-17,,,2024-07-07,51,2024-07-11,4,55,2024-08-30,2024-09-09,2024-09-06,57,112,,,,,,,
2024,ErdmanGallagher,NorthYolo,M105,2024-05-17,2024-07-01,2024-07-06,2024-07-05,49,2024-07-10,5,54,2024-07-30,2024-08-10,2024-08-07,28,82,2024-08-17,2024-08-29,2024-08-28,2024-08-26,19,101,
2024,ErdmanGallagher,NorthYolo,M206,2024-05-17,2024-07-01,2024-07-06,2024-07-05,49,2024-07-09,4,53,2024-07-30,2024-08-09,2024-08-09,31,84,2024-08-18,2024-08-30,2024-08-30,2024-08-29,20,104,
2024,ErdmanGallagher,NorthYolo,M209,2024-05-17,,,2024-07-06,50,2024-07-11,5,55,,,2024-08-12,32,87,,,2024-09-02,2024-09-10,29,116,
2024,ErdmanGallagher,NorthYolo,M210,2024-05-17,,,2024-07-05,49,2024-07-11,6,55,,,2024-08-09,29,84,,,2024-08-30,2024-08-29,20,104,
2024,ErdmanGallagher,NorthYolo,M211,2024-05-17,,,2024-07-05,49,2024-07-12,7,56,,,2024-08-13,32,88,,,2024-09-03,2024-09-08,26,114,
2024,ErdmanGallagher,NorthYolo,M401,2024-05-17,,,2024-07-10,55,2024-07-16,6,60,2024-08-30,2024-09-09,2024-09-09,55,115,,,,,,,
2024,LarrabeeSheppard,NorthButte,M105,2024-05-22,2024-07-05,2024-07-09,2024-07-08,48,2024-07-12,4,51,2024-08-03,2024-08-09,2024-08-06,25,76,2024-08-21,2024-08-28,2024-08-27,2024-08-28,22,98,
2024,LarrabeeSheppard,NorthButte,M206,2024-05-22,2024-07-05,2024-07-09,2024-07-08,48,2024-07-12,4,51,2024-08-03,2024-08-09,2024-08-09,28,79,2024-08-22,2024-08-29,2024-08-30,2024-09-01,23,102,
2024,LarrabeeSheppard,NorthButte,M209,2024-05-22,,,2024-07-08,48,2024-07-11,3,50,,,2024-08-15,35,85,,,2024-09-05,2024-09-11,27,112,
2024,LarrabeeSheppard,NorthButte,M210,2024-05-22,,,2024-07-08,48,2024-07-11,3,50,,,2024-08-09,29,79,,,2024-08-30,2024-09-01,23,102,
2024,LarrabeeSheppard,NorthButte,M211,2024-05-22,,,2024-07-08,48,2024-07-14,6,53,,,2024-08-16,36,86,,,2024-09-06,2024-09-10,25,111,
2024,LarrabeeSheppard,NorthButte,M401,2024-05-22,,,2024-07-10,50,2024-07-17,7,56,2024-09-04,2024-09-14,2024-09-15,60,116,,,,,,,
2024,Lauppe,Sutter,M105,2024-05-22,2024-07-07,2024-07-10,2024-07-08,48,2024-07-10,2,49,2024-08-08,2024-08-12,2024-08-05,26,75,2024-08-28,2024-08-31,2024-08-26,2024-08-28,23,98,
2024,Lauppe,Sutter,M206,2024-05-22,2024-07-07,2024-07-09,2024-07-08,48,2024-07-11,3,50,2024-08-07,2024-08-12,2024-08-09,29,79,2024-08-29,2024-09-01,2024-08-30,2024-08-30,21,100,
2024,Lauppe,Sutter,M209,2024-05-22,,,2024-07-10,50,2024-07-14,4,53,,,2024-08-14,31,84,,,2024-09-04,2024-09-09,26,110,
2024,Lauppe,Sutter,M210,2024-05-22,,,2024-07-08,48,2024-07-12,4,51,,,2024-08-09,28,79,,,2024-08-30,2024-08-31,22,101,
2024,Lauppe,Sutter,M211,2024-05-22,,,2024-07-08,48,2024-07-14,6,53,,,2024-08-15,32,85,,,2024-09-05,2024-09-07,23,108,
2024,Lauppe,Sutter,M401,2024-05-22,,,2024-07-12,52,2024-07-19,7,58,2024-09-04,2024-09-14,2024-09-13,56,114,,,,,,,
2024,Wylie,Glenn,M105,2024-05-23,2024-07-03,2024-07-09,2024-07-07,46,2024-07-12,5,50,2024-08-01,2024-08-09,2024-08-10,29,79,2024-08-18,2024-08-28,2024-08-31,2024-08-31,21,100,
