Location,Date,Year,Plant_Date,Days_After_Planting,County,LocMinTempC,LocMaxTempC,LocMinTempF,LocMaxTempF,PRISMMinTempC,PRISMMaxTempC,PRISMMinTempF,PRISMMaxTempF,CIMIS,StatMinTempC,StatMaxTempC,StatMinTempF,StatMaxTempF,MINDif_OUT,MAXDif_OUT,HeadM105,HeadM206,HeadM209,HeadM210,HeadM211,HeadM401
BosworthRue,2016-05-16,2016,2016-05-16,0,Yuba,23.38888889,28.94444444,74.1,84.1,12.26200008,28.44400024,54.07160015,83.19920044,Verona235,,,48.7,84.9,1,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-05-17,2016,2016-05-16,1,Yuba,17.66666667,30.83333333,63.8,87.5,13.45800018,30.06200027,56.22440033,86.11160049,Verona235,,,60.1,89.5,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-05-18,2016,2016-05-16,2,Yuba,18.38888889,33.94444444,65.1,93.1,16.56299973,32.61199951,61.81339951,90.70159912,Verona235,,,55.9,92.7,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-05-19,2016,2016-05-16,3,Yuba,16.72222222,26.77777778,62.1,80.2,16.39800072,35.0929985,61.51640129,95.16739731,Verona235,,,55.5,82.2,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-05-20,2016,2016-05-16,4,Yuba,12.05555556,17.05555556,53.7,62.7,13.07199955,27.8010006,55.52959919,82.04180107,Verona235,,,47.1,69.5,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-05-21,2016,2016-05-16,5,Yuba,11.16666667,19.88888889,52.1,67.8,10.26799965,19.75200081,50.48239937,67.55360146,Verona235,,,48.8,68.7,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-05-22,2016,2016-05-16,6,Yuba,10.61111111,21.55555556,51.1,70.8,9.583999634,20.79700089,49.25119934,69.43460159,Verona235,,,48.1,72.0,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-05-23,2016,2016-05-16,7,Yuba,11.88888889,23.22222222,53.4,73.8,9.454000473,22.72900009,49.01720085,72.91220016,Verona235,,,55.8,75.3,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-05-24,2016,2016-05-16,8,Yuba,13.72222222,23.83333333,56.7,74.9,10.32199955,24.11300087,50.57959919,75.40340157,Verona235,,,53.0,74.8,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-05-25,2016,2016-05-16,9,Yuba,13.33333333,26.66666667,56,80,12.40499973,25.35400009,54.32899952,77.63720016,Verona235,,,52.6,79.6,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-05-26,2016,2016-05-16,10,Yuba,14.05555556,28.22222222,57.3,82.8,11.77299976,26.99500084,53.19139957,80.59100151,Verona235,,,53.1,85.7,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-05-27,2016,2016-05-16,11,Yuba,16.44444444,29.33333333,61.6,84.8,12.71199989,29.64900017,54.88159981,85.3682003,Verona235,,,50.1,87.0,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-05-28,2016,2016-05-16,12,Yuba,16.61111111,30.11111111,61.9,86.2,13.51099968,31.06299973,56.31979942,87.91339951,Verona235,,,56.0,88.6,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-05-29,2016,2016-05-16,13,Yuba,17.72222222,32.44444444,63.9,90.4,14.58300018,31.73399925,58.24940033,89.12119865,Verona235,,,51.9,93.8,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-05-30,2016,2016-05-16,14,Yuba,18.55555556,33.94444444,65.4,93.1,14.6619997,33.27500153,58.39159946,91.89500275,Verona235,,,52.5,98.4,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-05-31,2016,2016-05-16,15,Yuba,21,36.55555556,69.8,97.8,15.17099953,35.69200134,59.30779915,96.24560242,Verona235,,,56.3,100.2,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-06-01,2016,2016-05-16,16,Yuba,20.83333333,34.22222222,69.5,93.6,17.12999916,38.29700089,62.83399849,100.9346016,Verona235,,,58.5,95.5,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-06-02,2016,2016-05-16,17,Yuba,17.33333333,33.88888889,63.2,93,15.77600002,36.97999954,60.39680004,98.56399918,Verona235,,,53.3,97.6,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-06-03,2016,2016-05-16,18,Yuba,20,36.05555556,68,96.9,15.00800037,36.54199982,59.01440067,97.77559967,Verona235,,,57.3,101.5,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-06-04,2016,2016-05-16,19,Yuba,21.16666667,31.94444444,70.1,89.5,17.70899963,38.98600006,63.87619934,102.1748001,Verona235,,,62.2,90.7,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-06-05,2016,2016-05-16,20,Yuba,20.88888889,35.66666667,69.6,96.2,18.04400063,34.36500168,64.47920113,93.85700302,Verona235,,,60.8,101.7,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
BosworthRue,2016-06-06,2016,2016-05-16,21,Yuba,20.05555556,34,68.1,93.2,17.6760006,38.17100143,63.81680107,100.7078026,Verona235,,,56.9,93.2,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted
