Location,Date,Year,County,WaterTempF,
Canal,4/23/16,2016,Colusa,67.456,
Canal,4/23/16,2016,Colusa,61.333,
Canal,4/23/16,2016,Colusa,88.81,
Canal,4/23/16,2016,Colusa,89.316,
Canal,4/23/16,2016,Colusa,85.894,
Canal,4/23/16,2016,Colusa,80.625,
Canal,4/23/16,2016,Colusa,75.681,
Canal,4/23/16,2016,Colusa,71.017,
Canal,4/23/16,2016,Colusa,67.158,
Canal,4/23/16,2016,Colusa,65.102,
Canal,4/23/16,2016,Colusa,63.604,
Canal,4/23/16,2016,Colusa,62.362,
Canal,4/24/16,2016,Colusa,61.29,
Canal,4/24/16,2016,Colusa,59.486,
Canal,4/24/16,2016,Colusa,57.376,
Canal,4/24/16,2016,Colusa,55.429,
Canal,4/24/16,2016,Colusa,53.994,
Canal,4/24/16,2016,Colusa,53.645,
Canal,4/24/16,2016,Colusa,53.341,
Canal,4/24/16,2016,Colusa,53.427,
Canal,4/24/16,2016,Colusa,58.066,
Canal,4/24/16,2016,Colusa,65.658,
Canal,4/24/16,2016,Colusa,72.653,
Canal,4/24/16,2016,Colusa,78.953,
Canal,4/24/16,2016,Colusa,83.959,
Canal,4/24/16,2016,Colusa,88.075,
Canal,4/24/16,2016,Colusa,89.085,
Canal,4/24/16,2016,Colusa,84.049,
Canal,4/24/16,2016,Colusa,71.834,
Canal,4/24/16,2016,Colusa,65.145,
Canal,4/24/16,2016,Colusa,65.017,
Canal,4/24/16,2016,Colusa,64.161,
Canal,4/24/16,2016,Colusa,60.818,
Canal,4/24/16,2016,Colusa,54.82,
Canal,4/24/16,2016,Colusa,51.764,
Canal,4/24/16,2016,Colusa,49.649,
Canal,4/25/16,2016,Colusa,47.512,
Canal,4/25/16,2016,Colusa,45.941,
Canal,4/25/16,2016,Colusa,45.217,
Canal,4/25/16,2016,Colusa,44.492,
Canal,4/25/16,2016,Colusa,44.218,
Canal,4/25/16,2016,Colusa,45.354,
Canal,4/25/16,2016,Colusa,45.896,
Canal,4/25/16,2016,Colusa,52.029,
Canal,4/25/16,2016,Colusa,55.819,
Canal,4/25/16,2016,Colusa,58.368,
Canal,4/25/16,2016,Colusa,60.861,
Canal,4/25/16,2016,Colusa,63.133,
Canal,4/25/16,2016,Colusa,64.074,
Canal,4/25/16,2016,Colusa,65.658,
Canal,4/25/16,2016,Colusa,69.901,
Canal,4/25/16,2016,Colusa,70.286,
Canal,4/25/16,2016,Colusa,70.803,
Canal,4/25/16,2016,Colusa,70.072,
Canal,4/25/16,2016,Colusa,67.329,
Canal,4/25/16,2016,Colusa,61.376,
Canal,4/25/16,2016,Colusa,54.865,
Canal,4/25/16,2016,Colusa,51.764,
Canal,4/25/16,2016,Colusa,52.817,
Canal,4/25/16,2016,Colusa,51.984,
Canal,4/26/16,2016,Colusa,49.338,
Canal,4/26/16,2016,Colusa,47.871,
Canal,4/26/16,2016,Colusa,44.31,
Canal,4/26/16,2016,Colusa,44.4,
Canal,4/26/16,2016,Colusa,42.478,
Canal,4/26/16,2016,Colusa,42.755,
Canal,4/26/16,2016,Colusa,42.433,
Canal,4/26/16,2016,Colusa,52.992,
Canal,4/26/16,2016,Colusa,58.971,
Canal,4/26/16,2016,Colusa,63.304,
Canal,4/26/16,2016,Colusa,67.158,
Canal,4/26/16,2016,Colusa,69.3,
Canal,4/26/16,2016,Colusa,69.985,
Canal,4/26/16,2016,Colusa,74.338,
Canal,4/26/16,2016,Colusa,76.768,
