Variety,Location,Year,T_l,T_opt,RMSE,MBE,MAE,Comparison,Approach
HeadM105_DaysToHeading,BosworthRue,2016,11,36,0.29750014166666006,-0.29750014166666006,0.29750014166666006,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,BosworthRue,2017,11,36,0.8129996638890589,-0.8129996638890589,0.8129996638890589,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,BosworthRue,2018,10,35,4.350057994444342,-4.350057994444342,4.350057994444342,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,BosworthRue,2019,15,34,1.411664975000008,-1.411664975000008,1.411664975000008,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,BosworthRue,2020,16,34,2.7376140583332926,-2.7376140583332926,2.7376140583332926,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,BosworthRue,2021,10,32,1.5149565166666434,1.5149565166666434,1.5149565166666434,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,BosworthRue,2022,19,39,0.597224633333326,-0.597224633333326,0.597224633333326,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,BosworthRue,2023,10,33,0.9635878305556388,0.9635878305556388,0.9635878305556388,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,Canal,2016,11,33,0.0540558888887972,-0.0540558888887972,0.0540558888887972,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,Canal,2017,10,39,0.5410511361110366,-0.5410511361110366,0.5410511361110366,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,Canal,2018,10,31,0.36138996666659295,-0.36138996666659295,0.36138996666659295,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,Canal,2019,12,40,18.13506214444442,18.13506214444442,18.13506214444442,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,Canal,2020,10,34,0.01638515277772967,-0.01638515277772967,0.01638515277772967,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,Canal,2023,10,40,9.246255322222169,9.246255322222169,9.246255322222169,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,Canal,2024,10,39,0.03275709722220199,-0.03275709722220199,0.03275709722220199,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,DelRio,2016,18,25,0,0,0,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,DelRio,2021,19,25,0,0,0,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,DelRio,2022,19,25,0,0,0,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,DelRio,2023,19,25,0,0,0,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,ErdmanGallagher,2016,14,30,0.21478013333330637,-0.21478013333330637,0.21478013333330637,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,ErdmanGallagher,2017,11,36,0.26217315000008057,-0.26217315000008057,0.26217315000008057,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,ErdmanGallagher,2018,10,33,2.0406657777778037,2.0406657777778037,2.0406657777778037,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,ErdmanGallagher,2019,10,35,0.3581658250000146,-0.3581658250000146,0.3581658250000146,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,ErdmanGallagher,2020,11,37,1.9912741555556297,-1.9912741555556297,1.9912741555556297,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,ErdmanGallagher,2021,20,25,12.753611111111113,12.753611111111113,12.753611111111113,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,ErdmanGallagher,2023,20,25,52.35111111111111,52.35111111111111,52.35111111111111,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,ErdmanGallagher,2024,11,29,25.27348890555561,25.27348890555561,25.27348890555561,Local vs PRISM,RMSE Only
HeadM105_DaysToHeading,LarrabeeSheppard,2016,13,38,0.3534895055556717,-0.3534895055556717,0.3534895055556717,Local vs PRISM,RMSE Only
