Variety,Location,Year,DaysToHeading,T_l,T_opt,Local_Cumulative_GDD,PRISM_Cumulative_GDD,Comparison,RMSE,MBE,MAE
HeadM105_DaysToHeading,BosworthRue,2016,84,10,25,876.6032222638889,827.1680011861112,Local vs PRISM,49.43522107777778,49.43522107777778,49.43522107777778
HeadM105_DaysToHeading,BosworthRue,2016,84,10,26,914.1032222638889,865.6885013694445,Local vs PRISM,48.414720894444486,48.414720894444486,48.414720894444486
HeadM105_DaysToHeading,BosworthRue,2016,84,10,27,950.7698889305556,903.4860019805556,Local vs PRISM,47.28388695000001,47.28388695000001,47.28388695000001
HeadM105_DaysToHeading,BosworthRue,2016,84,10,28,983.714333375,940.3865022777778,Local vs PRISM,43.3278310972222,43.3278310972222,43.3278310972222
HeadM105_DaysToHeading,BosworthRue,2016,84,10,29,1014.1310000416667,976.6085024,Local vs PRISM,37.52249764166663,37.52249764166663,37.52249764166663
HeadM105_DaysToHeading,BosworthRue,2016,84,10,30,1040.1587778194444,1011.6020031111111,Local vs PRISM,28.55677470833325,28.55677470833325,28.55677470833325
HeadM105_DaysToHeading,BosworthRue,2016,84,10,31,1062.3810000416668,1043.6055030944444,Local vs PRISM,18.775496947222337,18.775496947222337,18.775496947222337
HeadM105_DaysToHeading,BosworthRue,2016,84,10,32,1081.7698889305557,1072.2060022472222,Local vs PRISM,9.563886683333521,9.563886683333521,9.563886683333521
HeadM105_DaysToHeading,BosworthRue,2016,84,10,33,1098.4365555972222,1097.0685014833334,Local vs PRISM,1.3680541138887747,1.3680541138887747,1.3680541138887747
HeadM105_DaysToHeading,BosworthRue,2016,84,10,34,1112.575444486111,1117.234002125,Local vs PRISM,4.658557638888851,-4.658557638888851,4.658557638888851
HeadM105_DaysToHeading,BosworthRue,2016,84,10,35,1121.964333375,1134.8270025361112,Local vs PRISM,12.862669161111171,-12.862669161111171,12.862669161111171
HeadM105_DaysToHeading,BosworthRue,2016,84,10,36,1128.714333375,1148.9030008416667,Local vs PRISM,20.18866746666663,-20.18866746666663,20.18866746666663
HeadM105_DaysToHeading,BosworthRue,2016,84,10,37,1132.1310000416668,1161.1025018805556,Local vs PRISM,28.9715018388888,-28.9715018388888,28.9715018388888
HeadM105_DaysToHeading,BosworthRue,2016,84,10,38,1133.7421111527779,1169.930502911111,Local vs PRISM,36.18839175833318,-36.18839175833318,36.18839175833318
HeadM105_DaysToHeading,BosworthRue,2016,84,10,39,1133.825444486111,1175.3260031055556,Local vs PRISM,41.50055861944452,-41.50055861944452,41.50055861944452
HeadM105_DaysToHeading,BosworthRue,2016,84,10,40,1133.825444486111,1177.4460001333334,Local vs PRISM,43.62055564722232,-43.62055564722232,43.62055564722232
HeadM105_DaysToHeading,BosworthRue,2016,84,11,25,870.5198889305556,801.1935005277778,Local vs PRISM,69.32638840277775,69.32638840277775,69.32638840277775
HeadM105_DaysToHeading,BosworthRue,2016,84,11,26,908.0198889305556,839.7140007111111,Local vs PRISM,68.305888219444455,68.305888219444455,68.305888219444455
HeadM105_DaysToHeading,BosworthRue,2016,84,11,27,944.6865555972222,877.5115013222222,Local vs PRISM,67.17505427499998,67.17505427499998,67.17505427499998
HeadM105_DaysToHeading,BosworthRue,2016,84,11,28,977.6310000416667,914.4120016194445,Local vs PRISM,63.21899842222217,63.21899842222217,63.21899842222217
