Variety,Location,T_l,T_opt,Comparison,RMSE,MBE,MAE
HeadM105_DaysToHeading,BosworthRue,10,25,Local vs PRISM,42.55921337769367,40.630168868055534,40.630168868055534
HeadM105_DaysToHeading,BosworthRue,10,26,Local vs PRISM,40.956557720729606,38.86811723472222,38.86811723472222
HeadM105_DaysToHeading,BosworthRue,10,27,Local vs PRISM,39.323113323381776,36.98811021076391,36.98811021076391
HeadM105_DaysToHeading,BosworthRue,10,28,Local vs PRISM,36.92355252622425,34.365387450000014,34.365387450000014
HeadM105_DaysToHeading,BosworthRue,10,29,Local vs PRISM,33.561450127988145,30.417725673958316,30.417725673958316
HeadM105_DaysToHeading,BosworthRue,10,30,Local vs PRISM,28.718594379742097,24.651668348263897,25.904189019791644
HeadM105_DaysToHeading,BosworthRue,10,31,Local vs PRISM,23.14297272635019,17.234748494444446,20.682661718750026
HeadM105_DaysToHeading,BosworthRue,10,32,Local vs PRISM,18.187348836568603,8.32225545520835,15.181001223263948
HeadM105_DaysToHeading,BosworthRue,10,33,Local vs PRISM,17.717184366801085,-1.860273750694418,13.934489981250024
HeadM105_DaysToHeading,BosworthRue,10,34,Local vs PRISM,23.545009622249463,-12.784718162847255,16.406190292013903
HeadM105_DaysToHeading,BosworthRue,10,35,Local vs PRISM,32.47215272337088,-23.71500541944441,23.71500541944441
HeadM105_DaysToHeading,BosworthRue,10,36,Local vs PRISM,41.4084242574531,-33.331264598611085,33.331264598611085
HeadM105_DaysToHeading,BosworthRue,10,37,Local vs PRISM,49.634192262131755,-41.47669904166665,41.47669904166665
HeadM105_DaysToHeading,BosworthRue,10,38,Local vs PRISM,56.2078454355394,-47.91296980590272,47.91296980590272
HeadM105_DaysToHeading,BosworthRue,10,39,Local vs PRISM,60.39674174631918,-51.95833122951393,51.95833122951393
HeadM105_DaysToHeading,BosworthRue,10,40,Local vs PRISM,62.00143902466452,-53.693689580208314,53.693689580208314
HeadM105_DaysToHeading,BosworthRue,11,25,Local vs PRISM,62.708437832076456,59.124939536111114,59.124939536111114
HeadM105_DaysToHeading,BosworthRue,11,26,Local vs PRISM,61.97825257617708,58.05253283124998,58.05253283124998
HeadM105_DaysToHeading,BosworthRue,11,27,Local vs PRISM,60.99413608932116,56.67032497222223,56.67032497222223
HeadM105_DaysToHeading,BosworthRue,11,28,Local vs PRISM,59.223462269513306,54.477970307986084,54.477970307986084
HeadM105_DaysToHeading,BosworthRue,11,29,Local vs PRISM,56.1380490371481,50.88045077673608,50.88045077673608
HeadM105_DaysToHeading,BosworthRue,11,30,Local vs PRISM,51.23858885883986,45.348455884375,45.348455884375
HeadM105_DaysToHeading,BosworthRue,11,31,Local vs PRISM,44.82460437438094,37.994310927083305,37.994310927083305
HeadM105_DaysToHeading,BosworthRue,11,32,Local vs PRISM,37.54890447318293,29.12303104999991,31.38947711874995
HeadM105_DaysToHeading,BosworthRue,11,33,Local vs PRISM,30.971578968296914,18.991564380208317,27.304983376736104
HeadM105_DaysToHeading,BosworthRue,11,34,Local vs PRISM,26.677633465358266,8.06711996805555,23.286100621527822
HeadM105_DaysToHeading,BosworthRue,11,35,Local vs PRISM,26.99091656327269,-2.8631672885416606,20.574518536458356
HeadM105_DaysToHeading,BosworthRue,11,36,Local vs PRISM,30.685903395328662,-12.479426467708365,20.324254021875035
HeadM105_DaysToHeading,BosworthRue,11,37,Local vs PRISM,36.285955628733866,-20.624860910763942,25.78604107326393
HeadM105_DaysToHeading,BosworthRue,11,38,Local vs PRISM,41.715747404823006,-27.061131675000027,31.079423086805562
HeadM105_DaysToHeading,BosworthRue,11,39,Local vs PRISM,45.42803167549946,-31.10649309861111,34.94878439236112
