Variety,Location,Year,DaysToHeading,T_l,T_opt,Local_Cumulative_GDD,Stat_Cumulative_GDD,Comparison,RMSE,MBE,MAE
HeadM105_DaysToHeading,BosworthRue,2016,84,10,25,876.6032222638889,690.8888888888889,Local vs Station,185.71433337500002,185.71433337500002,185.71433337500002
HeadM105_DaysToHeading,BosworthRue,2016,84,10,26,914.1032222638889,727,Local vs Station,187.10322226388894,187.10322226388894,187.10322226388894
HeadM105_DaysToHeading,BosworthRue,2016,84,10,27,950.7698889305556,762.2222222222222,Local vs Station,188.5476667083334,188.5476667083334,188.5476667083334
HeadM105_DaysToHeading,BosworthRue,2016,84,10,28,983.714333375,796.8055555555555,Local vs Station,186.90877781944448,186.90877781944448,186.90877781944448
HeadM105_DaysToHeading,BosworthRue,2016,84,10,29,1014.1310000416667,827.8888888888889,Local vs Station,186.24211115277774,186.24211115277774,186.24211115277774
HeadM105_DaysToHeading,BosworthRue,2016,84,10,30,1040.1587778194444,856.6111111111111,Local vs Station,183.54766670833328,183.54766670833328,183.54766670833328
HeadM105_DaysToHeading,BosworthRue,2016,84,10,31,1062.3810000416668,882.0277777777778,Local vs Station,180.35322226388894,180.35322226388894,180.35322226388894
HeadM105_DaysToHeading,BosworthRue,2016,84,10,32,1081.7698889305557,904.25,Local vs Station,177.51988893055568,177.51988893055568,177.51988893055568
HeadM105_DaysToHeading,BosworthRue,2016,84,10,33,1098.4365555972222,921.8333333333334,Local vs Station,176.60322226388882,176.60322226388882,176.60322226388882
HeadM105_DaysToHeading,BosworthRue,2016,84,10,34,1112.575444486111,937.7222222222222,Local vs Station,174.85322226388894,174.85322226388894,174.85322226388894
HeadM105_DaysToHeading,BosworthRue,2016,84,10,35,1121.964333375,951.3888888888889,Local vs Station,170.5754444861111,170.5754444861111,170.5754444861111
HeadM105_DaysToHeading,BosworthRue,2016,84,10,36,1128.714333375,963.3611111111111,Local vs Station,165.35322226388894,165.35322226388894,165.35322226388894
HeadM105_DaysToHeading,BosworthRue,2016,84,10,37,1132.1310000416668,971.6111111111111,Local vs Station,160.51988893055568,160.51988893055568,160.51988893055568
HeadM105_DaysToHeading,BosworthRue,2016,84,10,38,1133.7421111527779,976.5277777777778,Local vs Station,157.21433337500002,157.21433337500002,157.21433337500002
HeadM105_DaysToHeading,BosworthRue,2016,84,10,39,1133.825444486111,978.8888888888889,Local vs Station,154.9365555972222,154.9365555972222,154.9365555972222
HeadM105_DaysToHeading,BosworthRue,2016,84,10,40,1133.825444486111,979.0277777777778,Local vs Station,154.79766670833328,154.79766670833328,154.79766670833328
HeadM105_DaysToHeading,BosworthRue,2016,84,11,25,870.5198889305556,638.8611111111111,Local vs Station,231.65877781944448,231.65877781944448,231.65877781944448
HeadM105_DaysToHeading,BosworthRue,2016,84,11,26,908.0198889305556,671.9722222222222,Local vs Station,236.0476667083334,236.0476667083334,236.0476667083334
