Variety,Location,Year,DaysToHeading,T_l,T_opt,Local_Cumulative_GDD,PRISM_Cumulative_GDD,Stat_Cumulative_GDD
HeadM206_DaysToHeading,BosworthRue,2016,86,10,25,895.9921111527777,846.5475015750001,708.1111111111111
HeadM206_DaysToHeading,BosworthRue,2017,77,10,25,865.8490555027778,832.8839988638889,697.0555555555555
HeadM206_DaysToHeading,BosworthRue,2018,83,10,25,893.7488888888888,848.4489998888889,735.9166666666666
HeadM206_DaysToHeading,BosworthRue,2019,84,10,25,919.3327222333334,894.025499338889,812.7222222222222
HeadM206_DaysToHeading,BosworthRue,2020,95,10,25,954.4306666444445,895.1880006694445,728.9444444444445
HeadM206_DaysToHeading,BosworthRue,2021,93,10,25,919.4314887583333,878.7921834055555,746.5
HeadM206_DaysToHeading,BosworthRue,2022,85,10,25,899.4393830805556,881.3735318194445,775.5833333333334
HeadM206_DaysToHeading,BosworthRue,2023,80,10,25,832.1446609361111,782.469388,724.2777777777778
HeadM206_DaysToHeading,Canal,2016,94,10,25,898.1341666666667,843.1859998666666,892
HeadM206_DaysToHeading,Canal,2017,82,10,25,867.4297222972222,792.3604989055556,769.6968885
HeadM206_DaysToHeading,Canal,2018,84,10,25,864.1786111111111,830.5509991666667,833.3333333333334
HeadM206_DaysToHeading,Canal,2019,90,10,25,897.5294444444445,808.7529974027777,859.25
HeadM206_DaysToHeading,Canal,2020,84,10,25,915.2730001444445,868.5394964222222,891.1225549916667
HeadM206_DaysToHeading,Canal,2023,74,10,25,802.0587385888889,745.1757850583333,752.2777777777778
HeadM206_DaysToHeading,Canal,2024,76,10,25,866.8188888888889,835.6972832638888,842.6111111111111
HeadM206_DaysToHeading,DelRio,2016,105,10,25,902.5944444444444,901.2785010305555,600.9444444444445
HeadM206_DaysToHeading,DelRio,2021,111,10,25,646.75,830.604786875,646.75
HeadM206_DaysToHeading,DelRio,2022,111,10,25,633.1944444444445,830.9125819333334,632.3055555555555
HeadM206_DaysToHeading,DelRio,2023,109,10,25,600,851.7981801,599.75
HeadM206_DaysToHeading,ErdmanGallagher,2016,89,10,25,860.3921666583334,854.0895013861111,807.8888888888889
HeadM206_DaysToHeading,ErdmanGallagher,2017,82,10,25,841.2955555555556,813.2069997888889,776.7926670694445
HeadM206_DaysToHeading,ErdmanGallagher,2018,83,10,25,855.9068334138889,823.3099984944445,780.7777777777778
HeadM206_DaysToHeading,ErdmanGallagher,2019,88,10,25,903.4033333333333,852.0324964722222,860.5277777777778
HeadM206_DaysToHeading,ErdmanGallagher,2020,89,10,25,899.0794444444444,854.1689987194444,832.3888888888889
HeadM206_DaysToHeading,ErdmanGallagher,2021,90,10,25,873.4219829694445,787.6048846305556,752.6946387833333
HeadM206_DaysToHeading,ErdmanGallagher,2023,87,10,25,875.5162833722222,782.0202379222222,757.2777777777778
HeadM206_DaysToHeading,ErdmanGallagher,2024,84,10,25,886.6422222222222,859.70903445,838
HeadM206_DaysToHeading,LarrabeeSheppard,2016,87,10,25,905.4067221722222,876.7449989083333,789.4444444444445
HeadM206_DaysToHeading,LarrabeeSheppard,2017,78,10,25,875.3941666666666,841.0159997861111,788.3888888888889
HeadM206_DaysToHeading,LarrabeeSheppard,2018,80,10,25,878.7296115166666,871.508004675,787.25
HeadM206_DaysToHeading,LarrabeeSheppard,2019,89,10,25,908.073555625,856.2609992166667,829.9444444444445
HeadM206_DaysToHeading,LarrabeeSheppard,2020,87,10,25,897.1125,840.0455026611111,738.0277777777778
HeadM206_DaysToHeading,LarrabeeSheppard,2021,85,10,25,910.87224445,871.3259801888889,775.6666666666666
HeadM206_DaysToHeading,LarrabeeSheppard,2022,90,10,25,971.3648443388888,945.4301800638889,885.9444444444445
HeadM206_DaysToHeading,LarrabeeSheppard,2023,82,10,25,887.7133333333334,835.2044844666667,801.5277777777778
HeadM206_DaysToHeading,LarrabeeSheppard,2024,79,10,25,916.7763888888888,880.3242316333333,814.9444444444445
HeadM206_DaysToHeading,Lauppe,2016,88,10,25,864.3255557472222,792.7224998333334,693.75
HeadM206_DaysToHeading,Lauppe,2017,79,10,25,836.3001664805555,780.9885015333333,716.1388888888889
HeadM206_DaysToHeading,Lauppe,2018,84,10,25,860.2874443222222,792.3770008083334,730.2777777777778
HeadM206_DaysToHeading,Lauppe,2019,87,10,25,856.2180555555556,784.2174992527778,752.4444444444445
HeadM206_DaysToHeading,Lauppe,2020,83,10,25,843.6713888888888,767.76100015,680.3333333333334
HeadM206_DaysToHeading,Lauppe,2021,89,10,25,891.1458333333333,793.5437316916667,729.0277777777778
HeadM206_DaysToHeading,Lauppe,2022,91,10,25,862.9033498944444,838.4926829166667,733.4444444444445
HeadM206_DaysToHeading,Lauppe,2023,87,10,25,888.0119444444445,857.3000326111111,808.6666666666666
HeadM206_DaysToHeading,Lauppe,2024,79,10,25,863.5647222222223,815.6558823694445,745.4410386611111
HeadM206_DaysToHeading,Rehmann,2017,92,10,25,866.5804999916667,885.3115015055556,870.8601671861111
HeadM206_DaysToHeading,Rehmann,2018,96,10,25,871.3614448333333,878.4545016361111,883.0555555555555
HeadM206_DaysToHeading,Rehmann,2019,100,10,25,901.7055555555555,895.1740007472223,877.8888888888889
HeadM206_DaysToHeading,Rehmann,2021,90,10,25,875.9001278222222,856.6423339833333,780.0833333333334
