Variety,Location,Year,DaysToHeading,T_l,T_opt,Local_Cumulative_GDD,PRISM_Cumulative_GDD,Stat_Cumulative_GDD
HeadM105_DaysToHeading,BosworthRue,2016,84,10,25,876.6032222638889,827.1680011861112,690.8888888888889
HeadM105_DaysToHeading,BosworthRue,2017,76,10,25,855.0459999472222,822.459498875,687.4444444444445
HeadM105_DaysToHeading,BosworthRue,2018,82,10,25,883.9602777777777,837.4619994222222,726.5833333333334
HeadM105_DaysToHeading,BosworthRue,2019,82,10,25,896.0613333444444,870.4559993694445,792.0833333333334
HeadM105_DaysToHeading,BosworthRue,2020,92,10,25,924.5276110888889,864.9625010416667,703.3888888888889
HeadM105_DaysToHeading,BosworthRue,2021,92,10,25,908.3664887583333,866.9721837111111,736.1944444444445
HeadM105_DaysToHeading,BosworthRue,2022,82,10,25,871.9721608583334,852.1331324583333,757.6111111111111
HeadM105_DaysToHeading,BosworthRue,2023,79,10,25,821.5321609361112,771.4145879666667,714.7777777777778
HeadM105_DaysToHeading,Canal,2016,93,10,25,887.0230555555555,831.9914998972223,880.3333333333334
HeadM105_DaysToHeading,Canal,2017,79,10,25,832.0472222972222,757.9539990416666,735.2802218333334
HeadM105_DaysToHeading,Canal,2018,82,10,25,839.7658333333334,806.49199915,810.3333333333334
HeadM105_DaysToHeading,Canal,2019,86,10,25,856.4769444444445,766.7459974333333,819.6111111111111
HeadM105_DaysToHeading,Canal,2020,83,10,25,904.4343890333333,856.6619968416667,879.2450554111111
HeadM105_DaysToHeading,Canal,2023,73,10,25,791.4462385888888,733.8851356444444,742.1111111111111
HeadM105_DaysToHeading,Canal,2024,74,10,25,844.3441666666666,814.3205833388889,820.8333333333334
HeadM105_DaysToHeading,DelRio,2016,102,10,25,873.89,874.1365008333333,583.6111111111111
HeadM105_DaysToHeading,DelRio,2021,105,10,25,602.3333333333334,773.117338186111,602.3333333333334
HeadM105_DaysToHeading,DelRio,2022,107,10,25,592.1111111111111,789.17538215,591.2222222222222
HeadM105_DaysToHeading,DelRio,2023,108,10,25,588.7222222222223,839.8854308083334,588.4722222222222
HeadM105_DaysToHeading,ErdmanGallagher,2016,85,10,25,823.9024444361112,818.0870013277778,774.2777777777778
