Location,Date,Year,Plant_Date,Days_After_Planting,County,LocMinTempC,LocMaxTempC,LocMinTempF,LocMaxTempF,PRISMMinTempC,PRISMMaxTempC,PRISMMinTempF,PRISMMaxTempF,CIMIS,StatMinTempC,StatMaxTempC,StatMinTempF,StatMaxTempF,MINDif_OUT,MAXDif_OUT,HeadM105,HeadM206,HeadM209,HeadM210,HeadM211,HeadM401,HeadM105_DaysToHeading,HeadM206_DaysToHeading,HeadM209_DaysToHeading,HeadM210_DaysToHeading,HeadM211_DaysToHeading,HeadM401_DaysToHeading
BosworthRue,2016-05-16,2016,2016-05-16,0,Yuba,23.388888888888886,28.944444444444443,74.1,84.1,12.262000083333334,28.444000244444442,54.07160015,83.19920044,Verona235,9.277777777777779,29.38888888888889,48.7,84.9,1,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-05-17,2016,2016-05-16,1,Yuba,17.666666666666668,30.833333333333332,63.8,87.5,13.458000183333334,30.06200027222222,56.22440033,86.11160049,Verona235,15.61111111111111,31.944444444444443,60.1,89.5,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-05-18,2016,2016-05-16,2,Yuba,18.388888888888886,33.94444444444444,65.1,93.1,16.56299972777778,32.61199951111111,61.813399510000004,90.70159912,Verona235,13.277777777777779,33.72222222222222,55.9,92.7,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-05-19,2016,2016-05-16,3,Yuba,16.72222222222222,26.77777777777778,62.1,80.2,16.398000716666665,35.092998505555556,61.51640129,95.16739731,Verona235,13.055555555555555,27.88888888888889,55.5,82.2,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-05-20,2016,2016-05-16,4,Yuba,12.055555555555557,17.055555555555557,53.7,62.7,13.07199955,27.80100059444445,55.52959919,82.04180107,Verona235,8.38888888888889,20.833333333333332,47.1,69.5,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-05-21,2016,2016-05-16,5,Yuba,11.166666666666666,19.88888888888889,52.1,67.8,10.26799965,19.752000811111106,50.48239937,67.55360146,Verona235,9.333333333333332,20.38888888888889,48.8,68.7,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-05-22,2016,2016-05-16,6,Yuba,10.61111111111111,21.555555555555557,51.1,70.8,9.583999633333333,20.797000883333332,49.25119934,69.43460159,Verona235,8.944444444444445,22.22222222222222,48.1,72,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-05-23,2016,2016-05-16,7,Yuba,11.88888888888889,23.22222222222222,53.4,73.8,9.454000472222223,22.72900008888889,49.01720085,72.91220016,Verona235,13.222222222222221,24.055555555555557,55.8,75.3,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-05-24,2016,2016-05-16,8,Yuba,13.722222222222223,23.833333333333336,56.7,74.9,10.321999550000003,24.113000872222223,50.57959919,75.40340157,Verona235,11.666666666666666,23.77777777777778,53,74.8,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
BosworthRue,2016-05-25,2016,2016-05-16,9,Yuba,13.333333333333334,26.666666666666668,56,80,12.404999733333334,25.354000088888895,54.328999520000004,77.63720016,Verona235,11.444444444444445,26.444444444444443,52.6,79.6,0,0,preHeading,preHeading,preHeading,preHeading,preHeading,Notplanted,84,86,92,86,91,NA
