Variety,T_lower,T_upper,RMSE,R2
M105,10,20,4.366459273029767,0.3001986461022526
M105,10,20.1,4.365579676363673,0.30048055915841076
M105,10,20.2,4.364395617652321,0.30085996341838234
M105,10,20.3,4.362653826196202,0.3014178931989006
M105,10,20.4,4.36006489487599,0.3022467668774391
M105,10,20.5,4.3571382334435365,0.30318317592541577
M105,10,20.6,4.353939166057759,0.30420602418765674
M105,10,20.7,4.3507544483097,0.3052235381763337
M105,10,20.8,4.347402438289263,0.30629369763844316
M105,10,20.9,4.343760389239304,0.30745551972359036
M105,10,21,4.339474160453117,0.308821589339276
M105,10,21.1,4.334757886785765,0.3103231607274953
M105,10,21.2,4.329360824634674,0.31203947875565863
M105,10,21.3,4.323674228939022,0.3138455578511491
M105,10,21.4,4.317656959754776,0.31575407488898705
M105,10,21.5,4.311677823178325,0.3176478645568726
M105,10,21.6,4.305472700466268,0.3196104564682009
M105,10,21.7,4.2988960086935775,0.32168748494799154
M105,10,21.8,4.291975722932748,0.3238695978335113
M105,10,21.9,4.284766235645509,0.3261391630940681
M105,10,22,4.277323406478441,0.32847818221560343
M105,10,22.1,4.269962402085857,0.3307874869936388
M105,10,22.2,4.262674286356517,0.3330700063298398
M105,10,22.3,4.255177526006428,0.3354138015219664
M105,10,22.4,4.247890536699118,0.33768805956099224
M105,10,22.5,4.240515141947628,0.33998593957591244
M105,10,22.6,4.233104214762836,0.3422908680244966
M105,10,22.7,4.225631224044173,0.34461101680781775
M105,10,22.8,4.218042464277615,0.34696291326026
M105,10,22.9,4.210387164999846,0.3493311482305214
M105,10,23,4.202552589021081,0.35175038974493467
M105,10,23.1,4.194886806469035,0.35411314819461437
M105,10,23.2,4.187025818998608,0.3565315930227074
M105,10,23.3,4.179279025394089,0.3589104680169245
M105,10,23.4,4.17166055461563,0.3612456412209279
M105,10,23.5,4.164496658022231,0.36343759380715657
M105,10,23.6,4.157643701298885,0.3655308817711748
M105,10,23.7,4.150936007557025,0.3675764594073742
M105,10,23.8,4.144346495465849,0.36958278027836144
M105,10,23.9,4.138003454722383,0.37151104665503154
M105,10,24,4.131887468950027,0.37336749213219317
M105,10,24.1,4.125926476927409,0.3751742484632524
M105,10,24.2,4.119985432139362,0.37697236348091623
M105,10,24.3,4.11387012370201,0.37882051494768193
M105,10,24.4,4.107762356966192,0.38066364700380145
M105,10,24.5,4.101960058961477,0.38241206172445763
M105,10,24.6,4.096384085088226,0.38408994917525546
M105,10,24.7,4.0908347358701,0.3857575588440747
M105,10,24.8,4.085366966203786,0.38739844238541665
M105,10,24.9,4.079945765065489,0.3890231839639393
M105,10,25,4.074718564171741,0.39058774039157734
M105,10,25.1,4.069768098221484,0.39206761781595456
M105,10,25.2,4.065058522161269,0.39347381449263685
M105,10,25.3,4.06032943901744,0.3948841973049238
M105,10,25.4,4.0560726189468275,0.3961523302834628
M105,10,25.5,4.052473211554849,0.3972235780533702
M105,10,25.6,4.04936391857154,0.3981481934181692
M105,10,25.7,4.046566868279436,0.39897935031467646
M105,10,25.8,4.04421525898351,0.39967769788354046
M105,10,25.9,4.042015595918796,0.40033055516050453
M105,10,26,4.040091049165377,0.4009014669265782
M105,10,26.1,4.038771087158605,0.4012928730166654
M105,10,26.2,4.0380179962109,0.40151612849269436
M105,10,26.3,4.03750762561119,0.40166740531695616
M105,10,26.4,4.037214917714428,0.40175415701782397
M105,10,26.5,4.036868720002522,0.40185675371686347
M105,10,26.6,4.036548373273535,0.40195168156462885
M105,10,26.7,4.036726016909624,0.4018990416328083
M105,10,26.8,4.036731301728254,0.40189747558292466
M105,10,26.9,4.0365084729468075,0.4019635046387816
M105,10,27,4.036378773759713,0.4020019356747536
M105,10,27.1,4.036337303217759,0.4020142235088774
M105,10,27.2,4.036600924485712,0.4019361096622285
M105,10,27.3,4.036971030876341,0.4018264345076286
M105,10,27.4,4.037584161535638,0.4016447208410106
M105,10,27.5,4.038302562619817,0.4014317730454233
M105,10,27.6,4.038957768093742,0.40123752460151996
M105,10,27.7,4.039499579834061,0.40107687013711857
M105,10,27.8,4.04055995033766,0.40076239367153804
M105,10,27.9,4.041958581403981,0.40034747227549444
M105,10,28,4.043764495171486,0.399811512960843
M105,10,28.1,4.045676264857416,0.39924387684355556
M105,10,28.200000000000003,4.047866465210671,0.39859324028902554
M105,10,28.3,4.050404082246667,0.39783895729944724
M105,10,28.4,4.053055144628439,0.3970504488538954
M105,10,28.5,4.05596387124419,0.39618470947027135
M105,10,28.6,4.059084440395382,0.3952552277107359
M105,10,28.700000000000003,4.06244442572284,0.3942536350719681
M105,10,28.8,4.065956392204838,0.3932058518879682
M105,10,28.9,4.070126177651295,0.3919606349844091
M105,10,29,4.074461607107144,0.3906645986311936
M105,10,29.1,4.079064101304805,0.3892872158629885
M105,10,29.200000000000003,4.084199494452277,0.3877485175825937
M105,10,29.3,4.089708530099795,0.3860957138687156
M105,10,29.4,4.095517016054547,0.3843506571570146
M105,10,29.5,4.1012790788311015,0.38261710038839825
M105,10,29.6,4.107028801381841,0.3808848268264443
M105,10,29.700000000000003,4.112801412454425,0.37914321607955975
M105,10,29.8,4.1188087210527975,0.3773281991241781
M105,10,29.9,4.125714347583898,0.3752384960788759
M105,10,30,4.1326382892997735,0.3731397360815549
M105,10,30.1,4.139020382531979,0.371202102288233
M105,10,30.200000000000003,4.145214218599245,0.3693187652531532
M105,10,30.3,4.151523505374521,0.3673974281033874
M105,10,30.4,4.158210610701396,0.3653578457648057
M105,10,30.5,4.1652706541364095,0.3632009541099342
M105,10,30.6,4.1725930752444516,0.36096003879301736
M105,10,30.700000000000003,4.1798843243573085,0.3587247522855594
M105,10,30.8,4.187286226201916,0.35645155099467424
M105,10,30.9,4.194682647198114,0.3541760154833084
M105,10,31,4.202459502314702,0.35177910693599695
M105,10,31.1,4.21011342075489,0.3494157537816514
M105,10,31.200000000000003,4.217884265411143,0.3470118970201127
M105,10,31.3,4.225946920540533,0.3445130850557722
M105,10,31.4,4.234117366824365,0.3419759978618764
M105,10,31.5,4.242259278357842,0.33944289645396636
M105,10,31.6,4.250857272286155,0.33676261643429223
M105,10,31.700000000000003,4.260208531272432,0.33384135796665815
M105,10,31.8,4.269706823087612,0.33086759615099015
M105,10,31.9,4.27885909374246,0.3279959027480754
M105,10,32,4.287836510607749,0.3251730990444796
M105,10,32.1,4.29670939049865,0.32237735196007233
M105,10,32.2,4.30599140584329,0.31944650560913346
M105,10,32.3,4.31577089739561,0.3163517363648878
M105,10,32.4,4.325717164566451,0.31319698885659236
M105,10,32.5,4.335789260623536,0.30999493050607074
M105,10,32.6,4.346237792629925,0.30666532820469006
M105,10,32.7,4.356930882201895,0.30324949578398674
M105,10,32.8,4.367400583009308,0.29989689085362664
M105,10,32.9,4.377812724464796,0.2965547371613368
M105,10,33,4.388409227998472,0.29314523476085697
M105,10,33.1,4.399469385653509,0.2895777566434502
M105,10,33.2,4.410700835661863,0.2859458382744163
M105,10,33.3,4.422075473785398,0.2822581791308353
M105,10,33.4,4.433643335983577,0.2784981355769721
M105,10,33.5,4.445163590616624,0.2747438038680418
M105,10,33.6,4.456583609656052,0.2710125221909061
M105,10,33.7,4.468419552376841,0.26713524201845734
M105,10,33.8,4.480441716903169,0.2631864306038321
M105,10,33.9,4.492259745337123,0.25929432872572394
M105,10,34,4.503915356800861,0.2554456743385724
M105,10,34.1,4.5154179061772055,0.2516377834866422
M105,10,34.2,4.526829582345133,0.2478503782130151
M105,10,34.3,4.537926324677833,0.2441583282739123
M105,10,34.4,4.548914861885889,0.2404933722171122
M105,10,34.5,4.559771344750491,0.23686375486049338
M105,10,34.6,4.570140853551115,0.23338886745994372
M105,10,34.7,4.580364427788437,0.2299551561274425
M105,10,34.8,4.590711004564734,0.22647232111924137
M105,10,34.9,4.600960325240645,0.22301447614249914
M105,10,35,4.610665112349356,0.21973323435248118
M105,10,35.1,4.619819214450938,0.21663184570976238
M105,10,35.2,4.628813431805183,0.21357863442346434
M105,10,35.3,4.637441688801454,0.21064407251294762
M105,10,35.4,4.6457140184774355,0.20782543375250148
M105,10,35.5,4.653912863678403,0.20502687672050543
M105,10,35.6,4.661963783973903,0.20227400986213298
